Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Canonsburg,Washington_PA,PA,48.2,93,10,3.5,0,Light Rain,FALSE,FALSE,FALSE,day
3,Inglewood,Los Angeles_CA,CA,64,48,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
2,Oceanside,San Diego_CA,CA,48,80,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Sisters,Deschutes_OR,OR,57,40,10,18.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Tuscaloosa,Tuscaloosa_AL,AL,57,89,6,5.8,0.02,Overcast,FALSE,FALSE,FALSE,day
2,Lancaster,Lancaster_SC,SC,73.4,100,2.5,0,0,Light Rain,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,51.1,77,5,26.5,0.03,Thunderstorms and Rain,FALSE,FALSE,TRUE,night
2,Fort Worth,Tarrant_TX,TX,75,22,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
3,Fort Lauderdale,Broward_FL,FL,77,88,10,9,0.45,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Seattle,King_WA,WA,55,67,10,15,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Columbia,Richland_SC,SC,89,53,10,9,0,Fair,FALSE,FALSE,TRUE,day
3,Conshohocken,Montgomery_PA,PA,60.8,88,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,West Palm Beach,Palm Beach_FL,FL,75,64,10,16.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
3,Davis,Yolo_CA,CA,82.4,39,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,70,39,10,11.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,90,48,10,10.4,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,99,23,10,0,0,Fair,FALSE,FALSE,TRUE,day
4,Hamburg,Erie_NY,NY,39.9,83,10,4.6,0,Overcast,FALSE,FALSE,FALSE,night
2,Pamplico,Florence_SC,SC,91,57,10,10,0,Fair,FALSE,FALSE,FALSE,day
3,Tewksbury,Middlesex_MA,MA,80,71,10,16,0,Thunder,FALSE,FALSE,FALSE,day
2,Denver,Denver_CO,CO,32,55,30,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Staten Island,Richmond_NY,NY,73,68,10,5.8,0,Light Rain,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,78.8,74,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Shafer,Chisago_MN,MN,81.7,48,10,0,0,Clear,FALSE,FALSE,FALSE,day
4,Palm Beach Gardens,Palm Beach_FL,FL,73.9,79,3,9.2,0,Light Rain,TRUE,FALSE,FALSE,night
3,Dayton,Montgomery_OH,OH,33.1,72,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Flint,Genesee_MI,MI,46,100,10,0,0,Shallow Fog,FALSE,FALSE,FALSE,twilight
3,Madison Heights,Oakland_MI,MI,77.2,52,10,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,North Hills,Los Angeles_CA,CA,75,44,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Troy,Oakland_MI,MI,81,45,10,3,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Payson,Utah_UT,UT,77,17,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,Rock Hill,York_SC,SC,83,46,8,5,0,Fair,FALSE,FALSE,FALSE,day
2,Cerritos,Los Angeles_CA,CA,57,83,10,9.2,0,Overcast,FALSE,FALSE,FALSE,night
3,Jackson,Hinds_MS,MS,63,90,9,3,0,Cloudy,FALSE,FALSE,FALSE,twilight
3,Plant City,Hillsborough_FL,FL,82,66,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Fresno,Fresno_CA,CA,91.9,19,8,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,66,54,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,41,29,10,17.3,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Lebanon,Lebanon_PA,PA,63.7,99,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,57.9,84,5,19.6,0.06,Rain,FALSE,FALSE,FALSE,day
